LegajoEmpleado,Nombre,Apellido,Salario
1,Bernice,Treend,14498
2,Bronnie,Tuberfield,16109
3,Sloan,Shaughnessy,10272
4,Zacherie,O'Finan,11728
5,Siffre,Elfleet,12823
6,Darla,Slidders,6413
7,Denna,Skypp,12857
8,Consolata,Orridge,14430
9,Jessie,Willstrop,7225
10,Dewey,Dashkovich,9956
11,Janelle,Grinikhin,10258
12,Amalle,Fewster,5578
13,Aurora,Ambroisin,10663
14,Masha,Billington,7573
15,Dory,Walcot,9522
16,Sean,Elwell,12576
17,Rhodia,Selbach,15581
18,Prisca,Coolican,6272
19,Wilow,Abramof,5215
20,Tyrus,Schach,12990
21,Tabbi,Daoust,6870
22,Ginnifer,Belding,8303
23,Stephi,Waszczykowski,14248
24,Aaron,Nunns,19772
25,Edmund,MacPeice,17319
26,Andeee,Went,19088
27,Felice,Mc Elory,8791
28,Jeddy,Hellis,5706
29,Samson,Sains,15909
30,Nicholle,Bosomworth,10877
31,Zelig,Bittlestone,14769
32,Alvie,Shearsby,10240
33,Jania,Waltho,15564
34,Randene,Bosquet,10444
35,Tresa,Light,7735
36,Rollie,Cool,9647
37,Brittaney,Chillcot,5911
38,Alica,Nickoles,11675
39,Pet,Insall,13717
40,Berky,Truran,19263
41,Bax,Rattry,15063
42,Pascale,Chrippes,16302
43,Emmott,Getten,14890
44,Rickie,Caulton,17203
45,Fran,Versey,8360
46,Roseanna,Mccaull,9550
47,Alicia,Scimonelli,8629
48,Cara,Pinck,19518
49,Phineas,Shory,15899
50,Agace,Portwain,16399
